cfe2225	Gholie	Fri May 12 11:33:28 2017	Removed /OrganizationName switch from Exchange DSC, as an organization is required for a migration anyway
290ed2d	Gholie	Thu May 11 19:55:17 2017	Added all scripts and modules to master.ps1, and fixed important ASCII Art
24bda63	ebc92	Thu May 11 19:23:46 2017	:git add .
14fbedf	ebc92	Thu May 11 19:22:25 2017	Consolidated vm provisioning.
81b7872	ebc92	Thu May 11 18:50:21 2017	Moved FSS migration.
df2d6ab	ebc92	Thu May 11 18:49:22 2017	Added sql migration script to run locally.
a33f041	ebc92	Thu May 11 18:22:06 2017	MSSQL-Migration consolidation.
8a430b1	ebc92	Thu May 11 17:28:21 2017	1st ADDC-Migration consolidation.
0dfef80	ebc92	Thu May 11 17:03:03 2017	Put VM name in log name.
bb93381	ebc92	Thu May 11 16:23:39 2017	Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop
ef921c1	ebc92	Thu May 11 16:23:33 2017	Git test
da1f730	Gholie	Thu May 11 16:22:28 2017	Random change
b71d5df	Gholie	Thu May 11 15:31:46 2017	Small changes to FSS module, to make it more dynamic
8d467b2	ebc92	Wed May 10 13:38:22 2017	Consolidation.
a627c86	ebc92	Wed May 10 13:19:54 2017	Added logging.
d229945	ebc92	Wed May 10 13:08:16 2017	Test sqlconnection using wsman.
7e5a844	ebc92	Wed May 10 12:57:52 2017	Fixed dbatools installpath for remoting.
46dbadd	ebc92	Wed May 10 12:35:54 2017	Finished debugging, passing smaconfig to session..
c3a9d6c	ebc92	Wed May 10 12:19:50 2017	Debugging.
9fefefe	ebc92	Wed May 10 11:55:44 2017	Removed relative path in module function.
a63055b	ebc92	Wed May 10 11:34:26 2017	Use one persistent PSSession.
6362672	ebc92	Wed May 10 10:43:10 2017	Added logging.
a877226	ebc92	Wed May 10 10:36:50 2017	Rewrote mssql package to run from remote host.
cdb072f	ebc92	Wed May 10 10:09:09 2017	Configuration now enables incoming requests on tcp 1433-34.
5b04a73	ebc92	Wed May 10 09:22:52 2017	Fixed try/catch block to correctly handle exception.
eb9cacd	ebc92	Wed May 10 08:42:13 2017	Added a gitignore.
936de9e	ebc92	Wed May 10 07:30:05 2017	...yet we do it anyway.
9977685	ebc92	Wed May 10 07:27:00 2017	Deleted .mof files.
baabd37	ebc92	Wed May 10 07:26:10 2017	Password strings are bad for you.
33757b3	Gholie	Wed May 10 00:56:48 2017	Fixed no session specified on Copy-Item in Migrate-Exchange.ps1
80eff6a	Gholie	Wed May 10 00:18:35 2017	Changed copy of xExchange from session to Copy-Item using -ToSession parameter
e495473	Gholie	Wed May 10 00:11:21 2017	Temporarily removed LCM check as it might interfere with DSC
f7baeba	Gholie	Wed May 10 00:09:35 2017	Added manual import of xExchange module
e39169b	Gholie	Tue May 9 23:56:16 2017	Added xExchange module to git, and fixed bug with  parameter
ea1e655	Gholie	Tue May 9 22:47:03 2017	Changed  parameter to [securestring] object in Set-DomainPolicy
855b389	Gholie	Tue May 9 14:34:37 2017	Added log-error to reboot check in SMAProvisioning
a71d7f5	Gholie	Tue May 9 14:28:51 2017	Removed double securestring converting
4bc603b	Gholie	Tue May 9 12:27:18 2017	Fixed  variable in SMA-Provisioning
c7a98ec	Gholie	Tue May 9 11:12:01 2017	Moved Exchange session into one global
607f98e	Nikolai	Mon May 8 23:35:06 2017	Fixed spelling errors
a6ea3a4	Nikolai	Mon May 8 23:22:28 2017	General fixes to Exchange runtime
275f670	ebc92	Mon May 8 19:29:16 2017	Remove PSSession after execution.
453bddb	ebc92	Mon May 8 19:24:05 2017	Use default param
d80b52e	ebc92	Mon May 8 19:15:36 2017	Remote using management ip.
27669dd	ebc92	Mon May 8 17:27:06 2017	added additional logging for debug purposes.
c4811fe	ebc92	Mon May 8 17:19:19 2017	McDouble
4f9caf8	ebc92	Mon May 8 16:28:30 2017	Fixed the script extension check condition.
3a31b39	ebc92	Mon May 8 16:27:51 2017	Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop
7bcd658	ebc92	Mon May 8 16:25:55 2017	Fixed scriptextension checks.
e1949d9	Gholie	Mon May 8 15:37:26 2017	Changed two - from typographic characters to ANSII
6952770	Gholie	Mon May 8 15:35:41 2017	Fixed a bug in enabling exchange certificate
f306e91	ebc92	Mon May 8 15:29:11 2017	Restart using azureRM instead of local cmd.
a5e4990	ebc92	Mon May 8 15:20:17 2017	Forcing TrustedHost modification.
ca334f2	ebc92	Mon May 8 14:32:27 2017	Added rebootcheck after applying scriptextension.
31bfb19	ebc92	Mon May 8 14:00:12 2017	merge
e89e842	ebc92	Mon May 8 13:57:08 2017	Added check for ScriptExtension provisioning.
365c13d	Gholie	Mon May 8 13:36:01 2017	Added important ASCII plaque to Migrate-Exchange.ps1
f146829	Gholie	Mon May 8 13:33:05 2017	Redid changes that got overwritten by overzealous team member
e542539	Gholie	Mon May 8 13:27:15 2017	Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop
08f1340	Gholie	Mon May 8 13:26:41 2017	Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop
1294a1a	ebc92	Mon May 8 13:26:33 2017	Stop. Mergetime.
abcc795	Gholie	Mon May 8 13:26:04 2017	Added more log info to Install-Prerequisite
8cf14b8	ebc92	Mon May 8 13:23:57 2017	Read log path from config.
9dbc09c	ebc92	Mon May 8 13:20:06 2017	Logging using new log format and config file.
c8dd0e5	ebc92	Mon May 8 13:12:17 2017	Improved logging in vm provisioning script.
33be6c5	Gholie	Mon May 8 12:53:10 2017	Updated Exchange master script
bf7d1c7	ebc92	Mon May 8 11:56:35 2017	Simplified the custom script extension.
