Gholie,2017-05-01 13:31:19 +0200, >>>Added name of session to verbose output<<<
Gholie,2017-05-01 13:30:21 +0200, >>>Added verbosepreference to remote<<<
Gholie,2017-05-01 13:06:50 +0200, >>>Added verbose message to certificate export<<<
Gholie,2017-05-01 12:52:22 +0200, >>>Added full path of UCMA executable<<<
Gholie,2017-05-01 12:42:33 +0200, >>>Small addition for bugtesting<<<
Gholie,2017-05-01 12:38:27 +0200, >>>Mounted fileshare to get around credential issues<<<
ebc92,2017-05-01 12:37:32 +0200, >>>Host subnet now uses /25 netmask to accomodate vpn subnet.<<<
Gholie,2017-05-01 12:17:03 +0200, >>>Removed MountExchange function from running<<<
ebc92,2017-05-01 12:16:33 +0200, >>>Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop<<<
ebc92,2017-05-01 12:16:24 +0200, >>>ScriptExtension now points to valid GitHub URI.<<<
Gholie,2017-05-01 12:14:24 +0200, >>>Moved mounting of Exchange to DSC from script<<<
Gholie,2017-05-01 11:22:14 +0200, >>>Removed deprecated parameters from Mount-Exchange<<<
ebc92,2017-05-01 11:12:12 +0200, >>>Implemented vm provisioning in sql deployment script.<<<
Gholie,2017-05-01 10:52:50 +0200, >>>Removed some remaining references to test environment<<<
ebc92,2017-05-01 10:52:09 +0200, >>>Fixed conflicts.<<<
ebc92,2017-05-01 10:37:10 +0200, >>>Leverage domain join instead of trusted host for remoting.<<<
Gholie,2017-05-01 10:24:01 +0200, >>>Removed all hard coded filepaths<<<
ebc92,2017-04-28 13:51:13 +0200, >>>Updated vm provisioning script & sql build.<<<
ebc92,2017-04-27 19:25:13 +0200, >>>Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop<<<
Gholie,2017-04-27 19:15:57 +0200, >>>Last commit at end of day<<<
Gholie,2017-04-27 17:02:51 +0200, >>>Removed some windows features which are not required<<<
Gholie,2017-04-27 16:34:22 +0200, >>>Prepared DSC Script to allow for installing all windows features<<<
Gholie,2017-04-27 14:59:17 +0200, >>>Added all Windows Features to DSC<<<
ebc92,2017-04-27 12:57:06 +0200, >>>Removed DSC configuration documents.<<<
ebc92,2017-04-27 12:53:06 +0200, >>>Merge branch 'develop' of https://github.com/ebc92/service-migration-azure into develop<<<
gholie,2017-04-26 19:52:46 +0200, >>>Fixed DSC config<<<
Emil Claussen,2017-04-26 19:48:15 +0200, >>>Removed unsecure SecureString. kek<<<
ebc92,2017-04-26 18:58:14 +0200, >>>PostDeploymentScript TestScript will now return false.<<<
ebc92,2017-04-26 17:49:02 +0200, >>>Deleted deprecated DSC .mof files.<<<
Gholie,2017-04-26 17:47:23 +0200, >>>Moved UCMA back into script, as it does not work with DSC<<<
ebc92,2017-04-26 17:45:14 +0200, >>>Updated the build version for SQL DSC deployment.<<<
Gholie,2017-04-26 16:48:47 +0200, >>>Fixed file ending on certificate from .cert to .cer<<<
Gholie,2017-04-26 16:45:51 +0200, >>>Added missing , to DSC script param list<<<
Gholie,2017-04-26 16:42:00 +0200, >>>Removed extra brace in dsc script<<<
